,Pro Name,Team,Server,AccName,CurRank
0,4LaN,Machi E-Sports,BR,4LaN,Master [247 LP]
1,4LaN,Machi E-Sports,BR,Rei dos Flinston,Diamond I
2,957,Team World Elite,KR,957,Unranked
3,Able,Royal Never Give Up,KR,hkjniodsfuvrewt,Platinum III
4,Able,Royal Never Give Up,KR,lpwafdw08,Unranked
5,Absolut,Team oNe eSports,BR,4bsolut NGDA,Challenger [465 LP]
6,Achuu,HWA Gaming,EUW,Achuu,Master [184 LP]
7,ADD,MVP,KR,MVP ADD,Challenger [826 LP]
8,ADD,MVP,KR,진주강씨29대손,Unranked
9,Adrian,Echo Fox,NA,Adrian Ma,Unranked
10,Adrian,Echo Fox,NA,FOX Adrian1,Unranked
11,Adrian,Echo Fox,NA,10 24 2017,Platinum II
12,Adrian,Echo Fox,NA,crow5,Diamond IV
13,Aiming,Afreeca Freecs,KR,59030865del,Diamond I
14,Akaadian,OpTic Gaming,KR,RlCK FOX,Unranked
15,Akaadian,OpTic Gaming,NA,swagwarrior408,Diamond III
16,Akaadian,OpTic Gaming,NA,zyzzlover37,Unranked
17,Akaadian,OpTic Gaming,NA,attack dog,Challenger [343 LP]
18,Akaadian,OpTic Gaming,NA,im hydrated bro,Unranked
19,Albis,AHQ e-Sports Club,KR,쓸쓸한 기분에,Unranked
20,Albis,AHQ e-Sports Club,KR,비슷한 걸 해요,Unranked
21,Albis,AHQ e-Sports Club,KR,NoYuiNoBABYMETAL,Diamond III
22,Alex,,KR,자폐아 어린이,Platinum I
23,Alex Ich,,NA,monkaSHAKEE,Diamond III
24,Alex Ich,,NA,x Jimmy Neutron,Unranked
25,Allorim,Echo Fox,NA,Allorim,Challenger [333 LP]
26,Allorim,Echo Fox,NA,Mirolla,Gold I
27,Alphari,Misfits,KR,XxDaku6969,Unranked
28,Alphari,Misfits,EUW,Alphari,Challenger [359 LP]
29,Alphari,Misfits,EUW,greasy clean,Unranked
30,Alphari,Misfits,KR,Captain Alphari,Unranked
31,Alphari,Misfits,EUW,Jean Bison,Unranked
32,Alphari,Misfits,KR,meatheadmuggshot,Platinum II
33,Altec,Echo Fox,NA,AD ME1 SAN,Challenger [423 LP]
34,Altec,Echo Fox,NA,wxxm6,Diamond IV
35,Amazing,,EUW,S04 Amazing,Master [183 LP]
36,Ambition,Gen.G,KR,maengsdog,Diamond I
37,Ambition,Gen.G,KR,C medalist,Unranked
38,Ambition,Gen.G,KR,Gen G Ambition,Diamond I
39,Ambition,Gen.G,NA,hahalo,Unranked
40,Ambition,Gen.G,KR,maengsdog,Diamond I
41,AN,AHQ e-Sports Club,KR,Wo jo lan A,Unranked
42,AnDa,100 Thieves,NA,Minyoung,Unranked
43,AnDa,100 Thieves,NA,mulgokizary,Diamond I
44,AnDa,100 Thieves,NA,Chorong,Unranked
45,AnDa,100 Thieves,NA,Somin,Diamond IV
46,AnDa,100 Thieves,KR,chorongie2,Master [350 LP]
47,Annes,,EUW,Annes,Diamond I
48,Annes,,EUW,Ka ik snak li nu,Unranked
49,AoD,,EUW,OldShrewdRaven,Unranked
50,AoD,,EUW,AøD,Diamond I
51,aphromoo,100 Thieves,NA,aphromoo,Master [128 LP]
52,aphromoo,100 Thieves,NA,Zbuum,Unranked
53,aphromoo,100 Thieves,KR,Jetaun,Diamond II
54,Apollo,Clutch Gaming,NA,Apollo Price,Master [51 LP]
55,Apollo,Clutch Gaming,NA,ApoIIo Price,Unranked
56,Apollo,Clutch Gaming,NA,Flula Borg,Unranked
57,Apollo,Clutch Gaming,NA,Pretty Raheem,Unranked
58,Apollo,Clutch Gaming,NA,Lokeneve,Unranked
59,Archie,GigaByte Marines,KR,12 08 2018,Platinum V
60,Arcsecond,,NA,Arcminute,Platinum I
61,Arcsecond,,NA,Second of Arc,Platinum I
62,Arcsecond,,NA,Archour,Diamond V
63,Arcsecond,,NA,Arcsecond,Diamond III
64,Ares,bbq Olivers,KR,킹갓사우루스,Diamond II
65,Armut,HWA Gaming,EUW,Tosuncuk,Diamond I
66,Arrow,OpTic Gaming,KR,DongTak,Master [21 LP]
67,Arrow,OpTic Gaming,NA,Arrowlol,Unranked
68,Arrow,OpTic Gaming,NA,OpTic Arrow,Diamond I
69,Arrow,OpTic Gaming,NA,League Of Arrow,Unranked
70,Arrow,OpTic Gaming,NA,Sheathotthotthot,Unranked
71,Arrow,OpTic Gaming,KR,밤새흐르는봄비,Unranked
72,Asper,Hanwha Life Esports,KR,HLE Asper,Master [245 LP]
73,Attila,Team Vitality,KR,VIT Attila,Diamond II
74,Audi,,KR,Freecss,Unranked
75,Ayel,INTZ e-Sports,BR,self betterment,Challenger [751 LP]
76,Ayel,INTZ e-Sports,BR,exceed apogee,Diamond II
77,b4dd,T Show,BR,Im random,Challenger [401 LP]
